Unnamed: 0,country,year_1978,year_1979,year_1980,year_1981,year_1982,year_1983,year_1984,year_1985,year_1986,year_1987,year_1988,year_1989,year_1990,year_1991,year_1992,year_1993,year_1994,year_1995,year_1996,year_1997,year_1998,year_1999,year_2000,year_2001,year_2002,year_2003,year_2004,year_2005,year_2006,year_2007,year_2008,year_2009,year_2010,year_2011,year_2012,year_2013,year_2014,year_2015,year_2016,year_2017,year_2018,year_2019,year_2020
26,Botswana,832467.0,865073.0,897860.0,930412.0,962859.0,996124.0,1031439.0,1069585.0,1110948.0,1154904.0,1200073.0,1244484.0,1286756,1326321,1363541.0,1399110.0,1434061.0,1469173,1504724,1540424,1575827,1610260,1643333,1674674,1704637,1734387,1765533,1799077,1835911,1875458,1915636,1953495,1987106,2015406,2039551.0,2062551.0,2088619.0,2120716.0,2159925.0,2205076.0,2254067.0,2303703.0,2351625.0
27,Brazil,115121158.0,117878412.0,120694012.0,123570327.0,126498322.0,129448815.0,132383569.0,135274083.0,138108915.0,140891606.0,143627505.0,146328305.0,149003225,151648007,154259382.0,156849086.0,159432717.0,162019889,164614682,167209046,169785253,172318674,174790339,177196051,179537523,181809244,184006479,186127108,188167353,190130445,192030362,193886505,195713637,197514541,199287292.0,201035904.0,202763744.0,204471759.0,206163056.0,207833825.0,209469320.0,211049519.0,212559409.0
28,British Virgin Islands,11041.0,11226.0,11471.0,11821.0,12250.0,12755.0,13317.0,13951.0,14646.0,15390.0,16155.0,16867.0,17489,18007,18443.0,18783.0,19068.0,19307,19508,19660,19820,20026,20313,20675,21128,21674,22329,23106,24022,25050,26096,27035,27796,28326,28654.0,28850.0,28985.0,29148.0,29355.0,29567.0,29795.0,30033.0,30237.0
29,Brunei Darussalam,181201.0,187596.0,193880.0,200027.0,206064.0,212073.0,218176.0,224440.0,230917.0,237565.0,244405.0,251456.0,258714,266208,273888.0,281684.0,289452.0,297112,304620,311962,319135,326214,333166,340037,346777,353295,359434,365112,370262,374967,379418,383902,388634,393687,398997.0,404414.0,409778.0,414914.0,419791.0,424481.0,428960.0,433296.0,437483.0
30,Bulgaria,8814032.0,8825940.0,8861535.0,8891117.0,8917457.0,8939738.0,8960679.0,8960547.0,8958171.0,8971359.0,8981446.0,8876972.0,8718289,8632367,8540164.0,8472313.0,8443591.0,8406067,8362826,8312068,8256786,8210624,8170172,8009142,7837161,7775327,7716860,7658972,7601022,7545338,7492561,7444443,7395599,7348328,7305888.0,7265115.0,7223938.0,7177991.0,7127822.0,7075947.0,7025037.0,6975761.0,6927288.0
31,Burkina Faso,6530820.0,6671656.0,6822837.0,6985166.0,7158259.0,7340910.0,7531239.0,7727908.0,7930689.0,8140080.0,8356313.0,8579818.0,8811033,9050086,9297110.0,9552473.0,9816584.0,10089880,10372734,10665552,10968722,11282696,11607951,11944589,12293097,12654624,13030576,13421935,13829173,14252029,14689725,15141098,15605211,16081915,16571252.0,17072791.0,17586029.0,18110616.0,18646350.0,19193236.0,19751466.0,20321383.0,20903278.0
32,Burundi,3949264.0,4051239.0,4157296.0,4266520.0,4379727.0,4497544.0,4621096.0,4750832.0,4886745.0,5027143.0,5168703.0,5307069.0,5438959,5564923,5685569.0,5798054.0,5898964.0,5987044,6060110,6122130,6185564,6267132,6378871,6525546,6704118,6909161,7131688,7364857,7607850,7862226,8126104,8397661,8675606,8958406,9245992.0,9540302.0,9844301.0,10160034.0,10488002.0,10827010.0,11175379.0,11530577.0,11890781.0
33,Cabo Verde,276182.0,279729.0,283848.0,288678.0,294244.0,300226.0,306140.0,311668.0,316613.0,321137.0,325744.0,331180.0,337953,346229,355763.0,366057.0,376409.0,386288,395533,404248,412513,420456,428178,435701,442955,449925,456619,463034,469171,475067,480846,486667,492644,498858,505241.0,511740.0,518276.0,524740.0,531140.0,537499.0,543764.0,549936.0,555988.0
34,Cambodia,6957267.0,6770393.0,6693759.0,6749849.0,6919803.0,7170004.0,7447844.0,7714894.0,7960952.0,8198082.0,8435909.0,8691331.0,8975597,9289298,9623899.0,9970727.0,10317901.0,10656145,10982919,11298594,11600510,11886464,12155241,12405411,12637719,12856171,13066475,13273355,13477705,13679953,13883835,14093605,14312205,14541421,14780454.0,15026330.0,15274506.0,15521435.0,15766290.0,16009413.0,16249795.0,16486542.0,16718971.0
35,Cameroon,8121081.0,8365560.0,8621409.0,8888534.0,9166813.0,9456496.0,9757849.0,10070806.0,10395481.0,10731058.0,11075423.0,11425807.0,11780086,12137912,12499499.0,12864091.0,13230978.0,13599984,13970812,14344444,14723772,15112598,15513944,15928910,16357605,16800869,17259322,17733408,18223677,18730283,19252674,19789922,20341236,20906392,21485267.0,22077300.0,22681853.0,23298376.0,23926549.0,24566070.0,25216261.0,25876387.0,26545864.0
36,Canada,23963203.0,24201544.0,24515667.0,24819915.0,25116942.0,25366451.0,25607053.0,25842116.0,26100278.0,26446601.0,26791747.0,27276781.0,27691138,28037420,28371264.0,28684764.0,29000663.0,29302311,29610218,29905948,30155173,30401286,30685730,31020902,31360079,31644028,31940655,32243753,32571174,32889025,33247118,33628895,34004889,34339328,34714222.0,35082954.0,35437435.0,35702908.0,36109487.0,36545295.0,37065178.0,37593384.0,38005238.0
37,Cayman Islands,14681.0,15485.0,16207.0,16857.0,17436.0,18005.0,18662.0,19460.0,20426.0,21539.0,22775.0,24028.0,25307,26540,27784.0,29068.0,30521.0,32161,34065,36155,38330,40423,42305,43934,45347,46624,47899,49261,50729,52280,53835,55321,56672,57877,58963.0,59933.0,60848.0,61721.0,62564.0,63382.0,64172.0,64948.0,65720.0
38,Central African Republic,2087662.0,2140778.0,2199359.0,2264441.0,2335339.0,2408322.0,2478382.0,2542170.0,2597765.0,2646836.0,2693974.0,2745735.0,2806740,2878507,2959236.0,3046148.0,3135017.0,3222662,3308235,3392432,3475485,3558019,3640421,3722016,3802129,3881185,3959883,4038380,4118075,4198004,4273368,4337623,4386765,4418639,4436411.0,4447945.0,4464171.0,4493171.0,4537683.0,4596023.0,4666375.0,4745179.0,4829764.0
39,Chad,4337292.0,4422743.0,4514427.0,4612858.0,4718157.0,4832316.0,4957561.0,5095400.0,5247281.0,5412844.0,5589624.0,5773930.0,5963250,6157085,6356741.0,6563925.0,6781057.0,7010159,7250974,7503494,7770053,8053532,8355654,8678049,9019226,9373913,9734761,10096630,10457122,10818031,11183589,11560142,11952134,12360986,12784748.0,13220433.0,13663562.0,14110971.0,14561658.0,15016761.0,15477727.0,15946882.0,16425859.0
40,Chile,11089165.0,11254877.0,11419350.0,11582020.0,11743909.0,11907955.0,12078137.0,12257238.0,12445833.0,12642917.0,12847712.0,13058758.0,13274617,13495255,13719818.0,13944934.0,14166346.0,14380864,14587367,14786227,14977736,15162801,15342350,15516112,15684413,15849649,16014972,16182713,16354507,16530201,16708255,16886184,17062531,17233584,17400359.0,17571511.0,17758969.0,17969356.0,18209072.0,18470435.0,18729166.0,18952035.0,19116209.0
41,China,956165000.0,969005000.0,981235000.0,993885000.0,1008630000.0,1023310000.0,1036825000.0,1051040000.0,1066790000.0,1084035000.0,1101630000.0,1118650000.0,1135185000,1150780000,1164970000.0,1178440000.0,1191835000.0,1204855000,1217550000,1230075000,1241935000,1252735000,1262645000,1271850000,1280400000,1288400000,1296075000,1303720000,1311020000,1317885000,1324655000,1331260000,1337705000,1344130000,1350695000.0,1357380000.0,1364270000.0,1371220000.0,1378665000.0,1386395000.0,1392730000.0,1397715000.0,1402112000.0
42,Colombia,25733669.0,26312996.0,26900508.0,27496608.0,28101824.0,28714183.0,29331230.0,29951194.0,30572479.0,31195417.0,31822527.0,32457497.0,33102569,33758328,34422568.0,35091272.0,35758978.0,36421438,37076387,37723803,38364307,38999468,39629965,40255956,40875363,41483872,42075953,42647731,43200901,43737512,44254972,44750054,45222699,45662747,46075721.0,46495492.0,46967706.0,47520667.0,48175048.0,48909844.0,49661056.0,50339443.0,50882884.0
43,Comoros,286628.0,297451.0,307831.0,317617.0,326944.0,336088.0,345455.0,355337.0,365765.0,376647.0,387964.0,399638.0,411598,423873,436454.0,449270.0,462280.0,475394,488625,501955,515382,528853,542358,555895,569480,583213,597230,611625,626427,641624,657227,673251,689696,706578,723865.0,741511.0,759390.0,777435.0,795597.0,813890.0,832322.0,850891.0,869595.0
44,"Congo, Dem. Rep.",24956387.0,25663598.0,26358905.0,27040329.0,27717293.0,28403858.0,29119663.0,29881222.0,30683877.0,31528702.0,32443784.0,33464767.0,34612023,35908240,37333917.0,38815835.0,40252973.0,41576239,42757239,43827191,44849968,45919615,47105830,48428534,49871670,51425583,53068869,54785894,56578046,58453687,60411195,62448572,64563853,66755151,69020749.0,71358804.0,73767445.0,76244532.0,78789130.0,81398765.0,84068092.0,86790568.0,89561404.0
45,"Congo, Rep.",1677326.0,1726865.0,1777932.0,1830629.0,1884873.0,1940454.0,1996994.0,2054308.0,2112359.0,2171319.0,2231462.0,2293161.0,2356740,2422312,2489945.0,2559880.0,2632345.0,2707532,2785815,2867283,2951651,3038432,3127420,3217930,3310376,3406915,3510468,3622775,3745143,3876123,4011487,4145400,4273738,4394842,4510197.0,4622757.0,4736965.0,4856093.0,4980996.0,5110701.0,5244363.0,5380504.0,5518092.0
46,Costa Rica,2264942.0,2326460.0,2389973.0,2455593.0,2523358.0,2593015.0,2664220.0,2736719.0,2810245.0,2884856.0,2960932.0,3039015.0,3119436,3202083,3286525.0,3372298.0,3458829.0,3545524,3632361,3718952,3803893,3885428,3962369,4034074,4100922,4164053,4225156,4285504,4345421,4404626,4463123,4520739,4577371,4633086,4688003.0,4742111.0,4795390.0,4847805.0,4899336.0,4949955.0,4999443.0,5047561.0,5094114.0
47,Cote d'Ivoire,7350269.0,7685927.0,8033652.0,8393689.0,8764991.0,9144940.0,9530103.0,9918204.0,10307268.0,10698188.0,11094740.0,11502453.0,11924873,12362404,12812428.0,13271638.0,13735438.0,14199759,14665125,15130674,15589407,16032573,16454660,16853027,17231539,17599613,17970493,18354513,18754914,19171250,19605568,20059147,20532944,21028652,21547188.0,22087506.0,22647672.0,23226148.0,23822726.0,24437475.0,25069226.0,25716554.0,26378275.0
48,Croatia,4581085.0,4594778.0,4599782.0,4611509.0,4634234.0,4658254.0,4680285.0,4701417.0,4721446.0,4739745.0,4755207.0,4767260.0,4777368,4689022,4575818.0,4600463.0,4652024.0,4620030,4557097,4534920,4532135,4512597,4468302,4299642,4302174,4303399,4304600,4310145,4311159,4310217,4309705,4305181,4295427,4280622,4267558.0,4255689.0,4238389.0,4203604.0,4174349.0,4124531.0,4087843.0,4065253.0,4047200.0
49,Cuba,9724044.0,9790850.0,9849457.0,9898891.0,9940314.0,9981303.0,10031651.0,10097910.0,10183894.0,10286645.0,10397519.0,10503967.0,10596986,10673534,10736386.0,10789312.0,10838461.0,10888246,10939285,10989730,11038706,11084673,11126423,11164676,11199664,11229185,11250369,11261586,11261241,11251117,11236975,11226711,11225833,11236671,11257112.0,11282722.0,11306909.0,11324777.0,11335108.0,11339255.0,11338146.0,11333484.0,11326616.0
50,Curacao,148341.0,147851.0,148041.0,148629.0,150101.0,151159.0,151940.0,152711.0,152662.0,151456.0,149254.0,146937.0,145400,144403,143912.0,144299.0,144630.0,145139,146306,146956,144472,139428,133860,129047,129205,131897,134192,137658,141239,144056,145880,146833,148703,150831,152088.0,153822.0,155909.0,157980.0,159664.0,160175.0,159336.0,157441.0,155014.0
51,Cyprus,673253.0,680010.0,685408.0,689170.0,691716.0,694076.0,697715.0,703694.0,712335.0,723384.0,736476.0,751043.0,766616,783121,800610.0,818750.0,837104.0,855391,873426,891190,908710,926049,943288,960274,976968,993562,1010410,1027657,1045508,1063708,1081568,1098089,1112617,1124837,1135046.0,1143866.0,1152297.0,1160987.0,1170189.0,1179685.0,1189262.0,1198574.0,1207361.0
52,Czech Republic,10242098.0,10292341.0,10304193.0,10300591.0,10314826.0,10323856.0,10330213.0,10337118.0,10342227.0,10347318.0,10355276.0,10361068.0,10333355,10308578,10319123.0,10329855.0,10333587.0,10327253,10315241,10304131,10294373,10283860,10255063,10216605,10196916,10193998,10197101,10211216,10238905,10298828,10384603,10443936,10474410,10496088,10510785.0,10514272.0,10525347.0,10546059.0,10566332.0,10594438.0,10629928.0,10671870.0,10698896.0
53,Denmark,5104248.0,5116801.0,5123027.0,5121572.0,5117810.0,5114297.0,5111619.0,5113691.0,5120534.0,5127024.0,5129516.0,5132594.0,5140939,5154298,5171370.0,5188628.0,5206180.0,5233373,5263074,5284991,5304219,5321799,5339616,5358783,5375931,5390574,5404523,5419432,5437272,5461438,5493621,5523095,5547683,5570572,5591572.0,5614932.0,5643475.0,5683483.0,5728010.0,5764980.0,5793636.0,5814422.0,5831404.0
54,Djibouti,308008.0,336080.0,358960.0,374934.0,385268.0,393800.0,406018.0,425608.0,454359.0,490337.0,528993.0,563855.0,590393,606843,615050.0,618504.0,622364.0,630385,643649,660858,680465,699973,717577,733019,746947,759639,771599,783248,794554,805456,816361,827820,840194,853671,868136.0,883296.0,898707.0,913998.0,929117.0,944100.0,958923.0,973557.0,988002.0
55,Dominica,74280.0,74960.0,75318.0,75314.0,75012.0,74484.0,73846.0,73207.0,72531.0,71842.0,71212.0,70722.0,70422,70377,70546.0,70818.0,71044.0,71105,70933,70592,70183,69828,69650,69671,69840,70102,70387,70580,70718,70797,70829,70848,70877,70912,70954.0,71019.0,71091.0,71175.0,71307.0,71460.0,71626.0,71808.0,71991.0
56,Dominican Republic,5539596.0,5671801.0,5803929.0,5935895.0,6067769.0,6199657.0,6331760.0,6464229.0,6596967.0,6729930.0,6863438.0,6997877.0,7133491,7270413,7408339.0,7546467.0,7683707.0,7819239,7952766,8084407,8214427,8343288,8471317,8598599,8724974,8850317,8974444,9097262,9218681,9338856,9458079,9576736,9695117,9813219,9930916.0,10048226.0,10165182.0,10281675.0,10397738.0,10513111.0,10627147.0,10738957.0,10847904.0
57,Ecuador,7582357.0,7784074.0,7989178.0,8197648.0,8409396.0,8624594.0,8843463.0,9066100.0,9292481.0,9522362.0,9755576.0,9991870.0,10230931,10472476,10716131.0,10961460.0,11207999.0,11455205,11703169,11951457,12198449,12442109,12681123,12914660,13143465,13369678,13596390,13825839,14059379,14296554,14535740,14774412,15011114,15243885,15474099.0,15707473.0,15951832.0,16212022.0,16491116.0,16785356.0,17084359.0,17373657.0,17643060.0
58,"Egypt, Arab Rep.",41275728.0,42267429.0,43309063.0,44400113.0,45539295.0,46728284.0,47968643.0,49258726.0,50602360.0,51991696.0,53399243.0,54788680.0,56134478,57424552,58666812.0,59880656.0,61095804.0,62334025,63601632,64892269,66200259,67515591,68831561,70152662,71485044,72826102,74172073,75523576,76873670,78232124,79636081,81134789,82761244,84529251,86422240.0,88404652.0,90424668.0,92442549.0,94447071.0,96442590.0,98423602.0,100388076.0,102334403.0
59,El Salvador,4426679.0,4511127.0,4591135.0,4666361.0,4737256.0,4804936.0,4871041.0,4936803.0,5002339.0,5067531.0,5133273.0,5200608.0,5270074,5342190,5416327.0,5490478.0,5561916.0,5628602,5689943,5746288,5797764,5844834,5887930,5927001,5962139,5994075,6023801,6052124,6079395,6105810,6131767,6157678,6183877,6210567,6237922.0,6266076.0,6295124.0,6325121.0,6356137.0,6388124.0,6420740.0,6453550.0,6486201.0
60,Equatorial Guinea,239681.0,241977.0,249931.0,264370.0,284638.0,308208.0,331554.0,352116.0,369024.0,382977.0,394973.0,406620.0,419188,432844,447269.0,462637.0,479099.0,496768,515844,536459,558496,581765,606180,631662,658388,686670,716949,749527,784494,821686,860839,901589,943640,986861,1031191.0,1076412.0,1122273.0,1168575.0,1215181.0,1262008.0,1308966.0,1355982.0,1402985.0
61,Eritrea,1636771.0,1683932.0,1733423.0,1784557.0,1836825.0,1890556.0,1946299.0,2003942.0,2064803.0,2127421.0,2185607.0,2231144.0,2258649,2266356,2257593.0,2238631.0,2218436.0,2204227,2196467,2195192,2206439,2237412,2292413,2374721,2481059,2600972,2719809,2826653,2918209,2996540,3062782,3119920,3170437,3213969,32833100.16744186,33222727.869767442,33615931.446511626,34009799.4744186,34406664.64651163,34801284.64186046,35187339.758139536,35563185.948837206,35932727.61860465
62,Estonia,1460188.0,1468333.0,1477219.0,1487666.0,1498414.0,1508745.0,1518617.0,1528781.0,1540190.0,1552221.0,1561900.0,1568131.0,1569174,1561314,1533091.0,1494128.0,1462514.0,1436634,1415594,1399535,1386156,1390244,1396985,1388115,1379350,1370720,1362550,1354775,1346810,1340680,1337090,1334515,1331475,1327439,1322696.0,1317997.0,1314545.0,1315407.0,1315790.0,1317384.0,1321977.0,1326898.0,1331057.0
63,Eswatini,549787.0,568316.0,587852.0,608374.0,629812.0,652112.0,675240.0,699077.0,723599.0,748634.0,773774.0,798498.0,822423,845267,866995.0,887706.0,907622.0,926836,945506,963416,979922,994105,1005432,1013608,1019054,1022796,1026287,1030575,1036095,1042651,1049948,1057462,1064841,1072029,1079285.0,1086843.0,1095022.0,1104038.0,1113994.0,1124808.0,1136274.0,1148133.0,1160164.0
64,Ethiopia,33993301.0,34487806.0,35141703.0,35984531.0,36995246.0,38142679.0,39374346.0,40652146.0,41965696.0,43329238.0,44757205.0,46272308.0,47887864,49609976,51423591.0,53295556.0,55180993.0,57047906,58883531,60697443,62507724,64343008,66224809,68159422,70142090,72170581,74239508,76346310,78489205,80674343,82916236,85233923,87639962,90139928,92726982.0,95385793.0,98094264.0,100835453.0,103603461.0,106399926.0,109224410.0,112078727.0,114963583.0
65,Faroe Islands,42539.0,42941.0,43339.0,43725.0,44101.0,44483.0,44895.0,45328.0,45812.0,46340.0,46833.0,47159.0,47276,47123,46746.0,46277.0,45848.0,45625,45624,45789,46094,46428,46738,46999,47235,47439,47600,47731,47793,47825,47822,47814,47803,47815,47843.0,47901.0,47965.0,48055.0,48173.0,48326.0,48497.0,48677.0,48865.0
66,Fiji,609383.0,621584.0,635312.0,651032.0,668281.0,685497.0,700478.0,711770.0,718642.0,721776.0,722924.0,724602.0,728575,735398,744470.0,754962.0,765607.0,775428,784389,792736,800148,806302,811011,813923,815257,816078,817864,821606,827869,836185,845356,853636,859816,863451,865065.0,865602.0,866447.0,868632.0,872406.0,877460.0,883490.0,889955.0,896444.0
67,Finland,4752528.0,4764690.0,4779535.0,4799964.0,4826933.0,4855787.0,4881803.0,4902206.0,4918154.0,4932123.0,4946481.0,4964371.0,4986431,5013740,5041992.0,5066447.0,5088333.0,5107790,5124573,5139835,5153498,5165474,5176209,5188008,5200598,5213014,5228172,5246096,5266268,5288720,5313399,5338871,5363352,5388272,5413971.0,5438972.0,5461512.0,5479531.0,5495303.0,5508214.0,5515525.0,5521606.0,5530719.0
68,France,54691866.0,54917110.0,55161510.0,55430278.0,55718940.0,56023775.0,56337675.0,56654703.0,56976126.0,57302642.0,57627106.0,57940199.0,58235716,58559309,58851216.0,59106758.0,59327200.0,59541904,59753095,59964841,60186284,60496708,60912500,61357432,61805266,62244880,62704901,63179356,63621376,64016227,64374979,64707035,65027505,65342789,65659814.0,65998685.0,66312067.0,66548272.0,66724104.0,66918020.0,67101930.0,67248926.0,67391582.0
69,French Polynesia,144273.0,148734.0,153298.0,157954.0,162679.0,167456.0,172249.0,177024.0,181807.0,186588.0,191260.0,195728.0,199906,203716,207238.0,210644.0,214196.0,218064,222323,226854,231562,236217,240681,244929,248976,252707,255995,258780,261007,262717,264064,265256,266449,267702,268995.0,270332.0,271713.0,273119.0,274576.0,276108.0,277673.0,279285.0,280904.0
70,Gabon,692078.0,708788.0,726335.0,744695.0,763932.0,784056.0,805117.0,827107.0,850052.0,873871.0,898472.0,923714.0,949493,975785,1002573.0,1029769.0,1057252.0,1084951,1112944,1141332,1170061,1199058,1228359,1258008,1288310,1319946,1353788,1390550,1430144,1472565,1518538,1568925,1624146,1684629,1749677.0,1817070.0,1883801.0,1947690.0,2007882.0,2064812.0,2119275.0,2172578.0,2225728.0
71,"Gambia, The",596540.0,616770.0,637252.0,657581.0,678111.0,700198.0,725688.0,755791.0,791141.0,831011.0,873440.0,915631.0,955595,992671,1027476.0,1060861.0,1094219.0,1128577,1164091,1200522,1238124,1277118,1317708,1360070,1404263,1449925,1496524,1543745,1591444,1639846,1689288,1740277,1793199,1848142,1905020.0,1963708.0,2024037.0,2085860.0,2149134.0,2213900.0,2280092.0,2347696.0,2416664.0
72,Georgia,4397700.0,4430200.0,4467700.0,4504500.0,4542800.0,4582900.0,4622200.0,4662900.0,4704500.0,4743500.0,4790700.0,4803300.0,4802000,4835900,4873500.0,4911100.0,4836076.0,4657722,4491699,4349913,4243607,4157192,4077131,4014373,3978515,3951736,3927340,3902469,3880347,3860158,3848449,3814419,3786695,3756441,3728874.0,3717668.0,3719414.0,3725276.0,3727505.0,3728004.0,3726549.0,3720161.0,3714000.0
73,Germany,78091820.0,78126350.0,78288576.0,78407907.0,78333366.0,78128282.0,77858685.0,77684873.0,77720436.0,77839920.0,78144619.0,78751283.0,79433029,80013896,80624598.0,81156363.0,81438348.0,81678051,81914831,82034771,82047195,82100243,82211508,82349925,82488495,82534176,82516260,82469422,82376451,82266372,82110097,81902307,81776930,80274983,80425823.0,80645605.0,80982500.0,81686611.0,82348669.0,82657002.0,82905782.0,83092962.0,83240525.0
74,Ghana,10590265.0,10805318.0,11056112.0,11348287.0,11676828.0,12033559.0,12405659.0,12783617.0,13164839.0,13552021.0,13947047.0,14353409.0,14773274,15207360,15653345.0,16106756.0,16561677.0,17014058,17462504,17908977,18357159,18812369,19278850,19756929,20246376,20750308,21272328,21814648,22379057,22963946,23563832,24170943,24779614,25387713,25996454.0,26607641.0,27224480.0,27849203.0,28481947.0,29121464.0,29767108.0,30417858.0,31072945.0
75,Gibraltar,30224.0,30172.0,30068.0,29902.0,29698.0,29481.0,29284.0,29151.0,29096.0,29114.0,29164.0,29187.0,29149,29021,28844.0,28680.0,28605.0,28688,28970,29404,29945,30526,31081,31604,32097,32556,32930,33222,33420,33524,33570,33562,33585,33608,33653.0,33694.0,33726.0,33742.0,33738.0,33723.0,33715.0,33706.0,33691.0
76,Greece,9429959.0,9548258.0,9642505.0,9729350.0,9789513.0,9846627.0,9895801.0,9934300.0,9967213.0,10000595.0,10036983.0,10089498.0,10196792,10319927,10399061.0,10460415.0,10512922.0,10562153,10608800,10661259,10720509,10761698,10805808,10862132,10902022,10928070,10955141,10987314,11020362,11048473,11077841,11107017,11121341,11104899,11045011.0,10965211.0,10892413.0,10820883.0,10775971.0,10754679.0,10732882.0,10721582.0,10715549.0
77,Greenland,49200.0,49600.0,50200.0,51000.0,51500.0,52100.0,52700.0,53200.0,53500.0,54100.0,54800.0,55300.0,55600,55500,55300.0,55200.0,55500.0,55800,55900,56000,56100,56100,56200,56350,56609,56765,56911,56935,56774,56555,56328,56323,56905,56890,56810.0,56483.0,56295.0,56114.0,56186.0,56172.0,56023.0,56225.0,56367.0
78,Grenada,89104.0,88603.0,89032.0,90610.0,93132.0,96020.0,98472.0,99953.0,100183.0,99425.0,98126.0,96932.0,96328,96462,97161.0,98234.0,99345.0,100286,101003,101567,102023,102429,102837,103242,103636,104003,104346,104658,104938,105183,105457,105787,106227,106786,107452.0,108172.0,108900.0,109603.0,110263.0,110874.0,111449.0,112002.0,112519.0
79,Guam,99629.0,101837.0,104134.0,106482.0,108901.0,111403.0,113953.0,116576.0,119228.0,121923.0,124674.0,127525.0,130480,133553,136693.0,139813.0,142806.0,145559,148061,150303,152274,153955,155323,156395,157173,157723,158094,158406,158649,158848,159037,159232,159439,159690,159990.0,160415.0,161007.0,161851.0,162948.0,164281.0,165770.0,167295.0,168783.0
80,Guatemala,6561919.0,6720582.0,6890346.0,7071186.0,7262658.0,7462585.0,7669863.0,7884034.0,8104921.0,8332446.0,8566331.0,8805995.0,9050115,9296814,9544055.0,9790619.0,10037522.0,10286786,10536942,10788362,11046215,11311078,11589761,11871565,12147518,12415334,12682108,12948292,13213330,13477017,13739299,14000190,14259687,14521515,14781942.0,15043981.0,15306316.0,15567419.0,15827690.0,16087418.0,16346950.0,16604026.0,16858333.0
81,Guinea,4702371.0,4782491.0,4871446.0,4969595.0,5077073.0,5195443.0,5326369.0,5470716.0,5629420.0,5801323.0,5982484.0,6167480.0,6352282,6534936,6716032.0,6897171.0,7081119.0,7269631,7463782,7662071,7860772,8054745,8240735,8417082,8586077,8753097,8925729,9109585,9307421,9518159,9738796,9964470,10192168,10420459,10652032.0,10892821.0,11150970.0,11432096.0,11738434.0,12067516.0,12414292.0,12771246.0,13132792.0
82,Guinea-Bissau,772137.0,774726.0,781678.0,793804.0,810402.0,830212.0,851276.0,872163.0,892530.0,912755.0,933046.0,953782.0,975265,997522,1020353.0,1043421.0,1066345.0,1088850,1110835,1132505,1154372,1177133,1201305,1227105,1254454,1283297,1313492,1344931,1377582,1411545,1446936,1483920,1522603,1562996,1604981.0,1648259.0,1692433.0,1737207.0,1782434.0,1828146.0,1874304.0,1920917.0,1967998.0
83,Guyana,770128.0,776257.0,780153.0,781734.0,781249.0,778953.0,775217.0,770439.0,764447.0,757451.0,750641.0,745581.0,743306,744477,748596.0,754141.0,758896.0,761298,760801,757975,753778,749676,746718,745206,744789,745142,745737,746156,746335,746477,746815,747718,749430,752029,755388.0,759281.0,763371.0,767433.0,771363.0,775218.0,779007.0,782775.0,786559.0
84,Haiti,5404020.0,5520187.0,5643175.0,5773367.0,5910223.0,6051617.0,6194686.0,6337275.0,6478537.0,6618742.0,6758222.0,6897755.0,7037915,7178611,7319491.0,7460684.0,7602318.0,7744509,7887312,8030721,8174680,8319070,8463802,8608810,8754148,8900108,9047082,9195289,9344784,9495336,9646570,9798046,9949318,10100320,10250922.0,10400672.0,10549007.0,10695540.0,10839976.0,10982367.0,11123183.0,11263079.0,11402533.0
85,Honduras,3458102.0,3566661.0,3678274.0,3792922.0,3910642.0,4031333.0,4154864.0,4281167.0,4410270.0,4542218.0,4677023.0,4814696.0,4955302,5098594,5244677.0,5394416.0,5548969.0,5709010,5874814,6045704,6220405,6397140,6574510,6751912,6929267,7106323,7282953,7458982,7634295,7808520,7980955,8150780,8317467,8480670,8640692.0,8798524.0,8955579.0,9112904.0,9270794.0,9429016.0,9587523.0,9746115.0,9904608.0
86,"Hong Kong SAR, China",4667500.0,4929700.0,5063100.0,5183400.0,5264500.0,5345100.0,5397900.0,5456200.0,5524600.0,5580500.0,5627600.0,5686200.0,5704500,5752000,5800500.0,5901000.0,6035400.0,6156100,6435500,6489300,6543700,6606500,6665000,6714300,6744100,6730800,6783500,6813200,6857100,6916300,6957800,6972800,7024200,7071600,7150100.0,7178900.0,7229500.0,7291300.0,7336600.0,7391700.0,7451000.0,7507400.0,7481800.0
87,Hungary,10684822.0,10704152.0,10711122.0,10711848.0,10705535.0,10689463.0,10668095.0,10648713.0,10630564.0,10612741.0,10596487.0,10481719.0,10373988,10373400,10369341.0,10357523.0,10343355.0,10328965,10311238,10290486,10266570,10237530,10210971,10187576,10158608,10129552,10107146,10087065,10071370,10055780,10038188,10022650,10000023,9971727,9920362.0,9893082.0,9866468.0,9843028.0,9814023.0,9787966.0,9775564.0,9771141.0,9749763.0
88,Iceland,223537.0,225735.0,228138.0,230755.0,233860.0,236977.0,239511.0,241405.0,243180.0,245859.0,249740.0,252852.0,254826,257797,261057.0,263725.0,266021.0,267468,268916,271128,274047,277381,281205,284968,287523,289521,292074,296734,303782,311566,317414,318499,318041,319014,320716.0,323764.0,327386.0,330815.0,335439.0,343400.0,352721.0,360563.0,366425.0
