Unnamed: 0,country,year_1978,year_1979,year_1980,year_1981,year_1982,year_1983,year_1984,year_1985,year_1986,year_1987,year_1988,year_1989,year_1990,year_1991,year_1992,year_1993,year_1994,year_1995,year_1996,year_1997,year_1998,year_1999,year_2000,year_2001,year_2002,year_2003,year_2004,year_2005,year_2006,year_2007,year_2008,year_2009,year_2010,year_2011,year_2012,year_2013,year_2014,year_2015,year_2016,year_2017,year_2018,year_2019,year_2020
196,Trinidad and Tobago,1053560.0,1068644.0,1084743.0,1101983.0,1120019.0,1138071.0,1155083.0,1170296.0,1183382.0,1194532.0,1204150.0,1212858.0,1221121,1229108,1236685.0,1243605.0,1249527.0,1254200,1257547,1259838,1261699,1263927,1267159,1271627,1277210,1283564,1290115,1296497,1302552,1308450,1314449,1320921,1328144,1336180,1344814.0,1353708.0,1362337.0,1370332.0,1377563.0,1384060.0,1389841.0,1394969.0,1399491.0
197,Tunisia,6060158.0,6210756.0,6374040.0,6551232.0,6740520.0,6937332.0,7135265.0,7329590.0,7517854.0,7700733.0,7880333.0,8060211.0,8242509,8427851,8613855.0,8795934.0,8967916.0,9125400,9267335,9395119,9509862,9613587,9708347,9793915,9871261,9945282,10022278,10106778,10201211,10304729,10414425,10525691,10635245,10741872,10846993.0,10952949.0,11063195.0,11179951.0,11303942.0,11433438.0,11565203.0,11694721.0,11818618.0
198,Turkey,42039983.0,42994043.0,43975972.0,44988411.0,46025411.0,47073470.0,48114158.0,49133928.0,50128548.0,51100930.0,52053764.0,52992479.0,53921758,54840595,55748946.0,56653808.0,57564209.0,58486453,59423278,60372571,61329665,62287391,63240196,64192243,65145357,66089402,67010930,67903461,68756809,69581854,70418612,71321406,72326992,73443254,74651046.0,75925454.0,77229262.0,78529413.0,79827868.0,81116451.0,82340090.0,83429607.0,84339067.0
199,Turkmenistan,2734899.0,2805817.0,2876809.0,2947783.0,3019064.0,3091510.0,3166215.0,3244024.0,3324462.0,3407310.0,3493892.0,3585867.0,3683978,3789188,3899843.0,4010789.0,4115105.0,4207841,4287337,4355125,4413477,4466133,4516128,4564087,4610018,4655752,4703396,4754652,4810114,4870142,4935765,5007953,5087211,5174076,5267906.0,5366376.0,5466324.0,5565283.0,5662371.0,5757667.0,5850902.0,5942094.0,6031187.0
200,Turks and Caicos Islands,7380.0,7607.0,7894.0,8243.0,8654.0,9096.0,9556.0,9974.0,10365.0,10717.0,11091.0,11550.0,12115,12815,13639.0,14526.0,15399.0,16221,16930,17566,18228,19069,20171,21578,23230,25008,26709,28181,29394,30383,31200,31933,32658,33371,34067.0,34733.0,35371.0,35979.0,36558.0,37116.0,37667.0,38194.0,38718.0
201,Tuvalu,7018.0,7357.0,7631.0,7825.0,7951.0,8041.0,8110.0,8211.0,8341.0,8481.0,8637.0,8787.0,8910,9014,9110.0,9194.0,9259.0,9298,9317,9328,9332,9344,9392,9478,9593,9724,9871,9997,10118,10219,10315,10413,10521,10626,10744.0,10849.0,10973.0,11099.0,11232.0,11365.0,11505.0,11655.0,11792.0
202,Uganda,11712540.0,12071140.0,12442333.0,12825084.0,13221991.0,13638729.0,14082870.0,14559357.0,15070319.0,15612754.0,16180129.0,16763041.0,17354395,17953534,18561668.0,19175986.0,19793541.0,20413157,21032817,21655392,22290787,22952406,23650159,24388974,25167261,25980547,26821300,27684590,28571475,29486335,30431734,31411096,32428164,33476772,34558700.0,35694519.0,36911530.0,38225447.0,39649173.0,41166588.0,42729032.0,44269587.0,45741000.0
203,Ukraine,49523304.0,49747998.0,49965872.0,50221000.0,50384000.0,50564000.0,50754000.0,50917000.0,51097000.0,51293000.0,51521000.0,51773000.0,51891400,52000500,52150400.0,52179200.0,51921400.0,51512800,51057800,50594600,50144500,49674000,49176500,48662400,48202470,47812949,47451626,47105171,46787786,46509355,46258189,46053331,45870741,45706086,45593342.0,45489648.0,45272155.0,45154036.0,45004673.0,44831135.0,44622518.0,44386203.0,44134693.0
204,United Arab Emirates,835498.0,931752.0,1019507.0,1096602.0,1164816.0,1228457.0,1293970.0,1366165.0,1446386.0,1533526.0,1627068.0,1725676.0,1828437,1937159,2052892.0,2173135.0,2294377.0,2415099,2539121,2671361,2813214,2966029,3134067,3302722,3478769,3711931,4068577,4588222,5300172,6168846,7089486,7917368,8549998,8946778,9141598.0,9197908.0,9214182.0,9262896.0,9360975.0,9487206.0,9630966.0,9770526.0,9890400.0
205,United Kingdom,56196504.0,56246951.0,56314216.0,56333829.0,56313641.0,56332848.0,56422072.0,56550268.0,56681396.0,56802050.0,56928327.0,57076711.0,57247586,57424897,57580402.0,57718614.0,57865745.0,58019030,58166950,58316954,58487141,58682466,58892514,59119673,59370479,59647577,59987905,60401206,60846820,61322463,61806995,62276270,62766365,63258810,63700215.0,64128273.0,64602298.0,65116219.0,65611593.0,66058859.0,66460344.0,66836327.0,67215293.0
